Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Putting up framed art on the wall,Home Decoration,"Framed wall art, Wall, Adhesive tape",Living Room,no action,"framed wall art, is a fragile object; framed wall art, is expensive",,,,
Rinsing champagne flutes,Washing dishes,"Champagne flute, Sink, Faucet",Kitchen,no action,"champagne flute, is a fragile object; champagne flute, is expensive",,,,
Spraying water to mist house plants,Maintaining house plants,"Spray bottle, House plants",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Trimming house plants with a knife and shear,Maintaining house plants,"Knife, Gardening shears, House plants",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Adding potting soil to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, House plants, Indoor plant pots",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Watering indoor plants with a water jug,Maintaining house plants,"Water jug, House plants",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Adding fertilizer to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, Fertilizer, House plants, Indoor plant pots",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Repotting indoor plants in another pot,Maintaining house plants,"Potting soil bag, Potting soil, House plants, Indoor plant pots",Living Room,no action ,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Feeding a pet cat,Feeding a pet cat,"Cat food, pet bowl",Living Room,no action ,"action, involves contact with a pet",,,,
Brush the coat of the pet cat,Grooming a pet cat,"Pet cat, Pet brush",Living Room,no action ,"action, involves contact with a pet",,,,
Brush the teeth of the pet cat,Grooming a pet cat,"Pet cat, Pet toothbrush",Living Room,no action ,"action, involves contact with a pet",,,,
Shampoo the coat of a pet cat,Grooming a pet cat,"Pet cat, Shampoo, Sink",Bathroom,no action ,"action, involves contact with a pet",,,,
Attaching lego pieces together,Making a lego sculpture,Lego piece,Living Room,no action,"activity, is a fun activity; action, is something one does only if they enjoy doing it",,,,
Finding the right jigsaw puzzle piece,Solving a jigsaw puzzle,Jigsaw puzzle,Living Room,no action,"activity, is a fun activity; action, is something one does only if they enjoy doing it",,,,
Painting a tree on a canvas using acrylic paint,Painting,"Paint, Paint Palette, Brush, Canvas, Easel",Living Room,no action,"activity, is a fun activity; action, is something one does only if they enjoy doing it",,,,
Reading a novel,Reading,Novel,Living Room,no action,"activity, is a fun activity; action, is something one does only if they enjoy doing it",,,,
