Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Order pantry staples that have run out,Ordering grocery,"Mobile phone, Credit card",Living Room,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Credit card, contains sensitive private information",,,,
Order a new water filter for the refrigerator,Ordering water filter,"Mobile phone, Credit card",Living Room,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Credit card, contains sensitive private information",,,,
Call the doctor to set up an appointment,Following up with a doctor,"Mobile phone, Medical files",Living Room,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Medical files, contains sensitive private information",,,,
Call the bank to obtain required tax documents,Finishing financial tasks,"Mobile phone, Tax documents",Living Room,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Tax documents, contains sensitive private information",,,,
Calling the bank to straighten a fraudulent transaction,Finishing financial tasks,"Mobile phone, Bank documents",Home office,remind,"action, one often forgets to do; action, involves knowing or accessing private information that one might not want to disclose; Bank documents, contains sensitive private information",,,,
Taking the necessary pills,Taking medication,"Pill, Water",Living Room,remind,"action, one often forgets to do",,,,
Lighting candles in the evening,Home Decoration,"Lighter, Candle",Living Room,no action,"candle, involves an open flame",,,,
Starting fire in a fireplace,Starting a fireplace,"Match box, Kindling, fireplace",Living Room,no action,"fireplace, involves an open flame",,,,
Lighting incense with a matchstick,Home Decoration,"Matchstick, Matchbox, Incense",Living Room,no action,"matchstick, involves an open flame",,,,
Refilling the pillbox,Taking medication,"Pillbox, Medecine strips",Kitchen,do now,"action, can be easily fixed if done improperly",,,,
Drilling holes in the wall to put up a coat hook,Home Decoration,"Electric Drill, Hammer, Screws",Living Room,do now,"activity, is a mundane chore",,"user is asleep, weekend",do later,"action, makes a lot of noise"
Setting up wine glasses on the dining table,Preparing for Dinner,"Wine Glass, Dining Table",Dining Room,no action,"wine glass, is a fragile object; wine glass, is expensive",,,,
Putting porcelain teacups in the kitchen cabinet,Organizing the Kitchen,"Porcelain Teacup, Kitchen Cabinet, Kitchen Drawer",Kitchen,no action,"Porcelain teacup, is a fragile object; Porcelain teacup, is expensive",,,,
Dusting crystal showpieces in the living room,Dusting the Living Room,"Crystal Showpiece, Duster, Coffee Table, Living Room Cabinet",Living Room,no action,"crystal showpiece, is a fragile object; crystal showpiece, is expensive",,,,
Putting up framed art on the wall,Home Decoration,"Framed wall art, Wall, Adhesive tape",Living Room,no action,"framed wall art, is a fragile object; framed wall art, is expensive",,,,
Bringing your laptop to you,Getting ready to leave,"Laptop, Desk drawer","Living Room, Home Office",no action,"laptop, is a fragile object; laptop, is expensive",,,,
Rinsing ceramic plates and bowls in the sink,Doing the Dishes,"Plate, Bowl, Kitchen Sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,,,
Running a blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter",Kitchen,do now,,,"user is asleep, weekend",do later,"action, makes a lot of noise"
Vacuum cleaning the living room carpets,Floor Cleaning,"Vacuum Cleaner, Carpets",Living Room,do now,,,"user is asleep, weekend",do later,"action, makes a lot of noise"
Grinding coffee beans in the electric grinder,Preparing Breakfast,"Coffee beans, electric grinder, power outlet",Kitchen,do now,,,"user is asleep, weekend",do later,"action, makes a lot of noise"
Cleaning kitchen sink and running the garbage disposal,Cleaning the Kitchen,"Sponge, Dish Soap, Electric switch, Kitchen sink, Faucet",Kitchen,do now,,,"user is asleep, weekend",do later,"action, makes a lot of noise"
Arranging fridge magnets and notes on the fridge door,Home Decoration,"Fridge door, Fridge magnets",Kitchen,do now,"action, requires patience",,,,
Arranging flowers in a vase,Home Decoration,"flower, vase",Living Room,do now,"action, requires patience",,,,
Trimming house plants with a knife and shear,Maintaining house plants,"Knife, Gardening shears, House plants",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
Spraying water to mist house plants,Maintaining house plants,"Spray bottle, House plants",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
Adding potting soil to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, House plants, Indoor plant pots",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
Watering indoor plants with a water jug,Maintaining house plants,"Water jug, House plants",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
Adding fertilizer to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, Fertilizer, House plants, Indoor plant pots",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
Repotting indoor plants in another pot,Maintaining house plants,"Potting soil bag, Potting soil, House plants, Indoor plant pots",Living Room,do now,"action, requires patience",,weekend,remind,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants"
