Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Placing the book you read every night on the nightstand,Preparing to Sleep,"Book, Nightstand",Bedroom,do now,"activity, is a mundane chore",,,,
Changing bedsheets,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"action, is very tiring; activity, is a mundane chore",,,,
Applying moisturizer on your arms,Personal Care,"Moisturizer, Moisturizer bottle",Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Putting on a scarf when leaving the home,Getting ready to leave,Scarf,Living Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Using a trimmer to groom facial hair,Personal Care,Trimmer,Bathroom,no action,"action, involves close contact with another human",,,,
Helping you put on a bracelet or watch on your wrist,Getting ready to leave,"Bracelet, watch",Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Putting on sunscreen,Getting ready to leave,"Sunscreen bottle, cream applicator",Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Applying band aid on your skin,Personal Care,Band Aid,Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Spraying bug spray on your arms,Personal Care,Bug Spray bottle,Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Combing your hair,Personal Care,Comb,Dressing Room,no action,"action, involves close contact with another human",,user is in a rush,remind,"action, one often forgets to do"
Carrying a water jug to water indoor plants,Maintaining house plants,"Water jug, House plants",Living Room,no action,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Trimming house plants with a knife and shear,Maintaining house plants,"Knife, Gardening shears, House plants",Living Room,no action,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Spraying water to mist house plants,Maintaining house plants,"Spray bottle, House plants",Living Room,no action,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Adding potting soil to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, House plants, Indoor plant pots",Living Room,no action,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Adding fertilizer to indoor plant pots,Maintaining house plants,"Potting soil bag, Potting soil, Fertilizer, House plants, Indoor plant pots",Living Room,no action,"action, that a user might prefer doing themselves if they enjoy taking care of their house plants",,,,
Putting up photos on the wall,Home Decoration,"Photographs, Wall, Adhesive tape",Living Room,no action,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Rearranging vintage china in the living room cabinet,Organizing the Living Room,"porcelain plate, porcelain cup, Living Room Cabinet",Living Room,no action,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Arranging fridge magnets and notes on the fridge door,Home Decoration,"Fridge door, Fridge magnets",Kitchen,no action,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Arranging cushions on the couch,Home Decoration,"Couch, Cushion, Throw blanket",Living Room,no action ,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Arranging showpieces in the cabinet,Organizing the Living Room,"Vase, Showpiece, Living Room Cabinet",Living Room,no action ,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Organizing the coffee table,Organizing the Living Room,"Coffee Table, Books, Coasters",Living Room,no action ,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Putting up framed art on the wall,Home Decoration,"Framed wall art, Wall, Adhesive tape",Living Room,no action,"action, is one which a user might be particular about if they are picky about how their living room looks",,,,
Arranging cut fruits in a fruit bowl,Preparing a Meal,"Fruit slices, Serving bowl",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Scooping out cookie dough,Baking,"Cookie dough, scoop, Baking tray",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Mixing cake batter to bake a birthday cake,Baking,"Cake batter, Mixing bowl, Wooden spoon",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Picking a recipe to make for dinner,Preparing a Meal,Recipe book,Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Putting vegetables in the pot to boil,Preparing a Meal,"Carrots, Onions, Celery, Cooking pot, stove",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Stirring stew on the stovetop,Preparing a Meal,"Pot, Wooden spoon, Stove",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Frying eggs till done,Preparing Breakfast,"Fried eggs, Pan, Stove",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Putting fruits in the blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter, Apple, Banana, Strawberry",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Applying butter on toast for preparing breakfast,Preparing Breakfast,"Toast, Butter, Butter knife",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Pouring oil in a pan to cook food,Preparing a Meal,"Oil Bottle, Pan, Stove",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Garnishing food with salt and spices,Preparing a Meal,"Salt shaker, Spice shakers, Cooked Food",Kitchen,no action,"action, that a user might prefer doing themselves if they enjoy making food",,,,
Bring plates with pastries to the table,Serving Food,"Plate, Pastries","Kitchen, Dining Room",no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Serving food from cooking pots into plates using serving scoops,Serving Food,"Serving scoop, Cooking pot, Food",Dining table,no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Mixing milk and cereal to prepare breakfast,Preparing Breakfast,"Milk Carton, Cereal Box, Cereal Bowl",Dining Room,no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Serving a jug of juice at the dining table,Serving Food,"Jug, Juice",Dining table,no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Serving coffee into cups,Serving Food,"coffee pot, cups",Living Room,no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Carrying a tray with coffee cups to serve guests,Serving Food,"Serving tray, coffee cups",Living Room,no action,"action, involves handling open containers with something which takes work to replace if spilled",,,,
Lighting candles in the evening,Home Decoration,"Lighter, Candle",Living Room,no action ,"candle, involves an open flame; action, can cause major damage or harm if done imprecisely",,,,
Refilling the pillbox,Taking medication,"Pillbox, Medecine strips",Kitchen,no action ,"action, can cause major damage or harm if done imprecisely; action, requires precision",,,,
Turning on the stove,Preparing a Meal,"Stove, Stove knobs",Kitchen,no action ,"action, can cause major damage or harm if done imprecisely; stove, involves an open flame",,,,
Chopping vegetables,Preparing a Meal,"Carrots, Onions, Celery, Chopping Board, Chef Knife",Kitchen,no action ,"action, can cause major damage or harm if done imprecisely; chef knife, can easily hurt someone without intending to; action, that a user might prefer doing themselves if they enjoy making food",,,,
Drilling holes in the wall to put up a coat hook,Home Decoration,"Electric Drill, Hammer, Screws",Living Room,no action,"action, can cause major damage or harm if done imprecisely; electric drill, can easily hurt someone without intending to",,,,
Hammering a nail into the wall,Home Decoration,"Hammer, Nail, Wall",Living Room,no action,"action, can cause major damage or harm if done imprecisely; hammer, can easily hurt someone without intending to",,,,
Running a blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Vacuum cleaning the living room carpets,Floor Cleaning,"Vacuum Cleaner, Carpets",Living Room,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Grinding coffee beans in the electric grinder,Preparing Breakfast,"Coffee beans, electric grinder, power outlet",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Arranging pots and pans in the kitchen shelves,Organizing the Kitchen,"Pots, Pans, Kitchen Shelves",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Reorganizing silverware in the kitchen drawers,Home Organization,"Spoons, Forks, Kitchen Cabinet",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Cleaning kitchen sink and running the garbage disposal,Cleaning the Kitchen,"Sponge, Dish Soap, Electric switch, Kitchen sink, Faucet",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Knitting a sweater,Knitting,"Knitting needle, Yarn",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Creating a needlepoint stocking,Needlepoint,"Thread, needle, canvas",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Doing beadwork on handmade purses,Beadworking,"Beads, needle, thread, purse",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Taking jewellery out of the lock-box,Getting dressed to go out,"Jewellery, Lock-box",Bedroom,no action,"action, involves knowing or accessing private information that one might not want to disclose",,,,
Searching for the chequebook from the documents drawer,Finishing financial tasks,"Desk drawer, Personal Documents, Chequebook",Home office,no action,"action, involves knowing or accessing private information that one might not want to disclose; Personal Documents, contains sensitive private information; Chequebook, contains sensitive private information",,,,
Filing tax documents in the documents folder,Finishing financial tasks,"Desk drawer, Personal Documents, Documents folder",Home office,no action,"action, involves knowing or accessing private information that one might not want to disclose; Personal Documents, contains sensitive private information",,,,
Calling the bank to straighten a fraudulent transaction,Finishing financial tasks,"Mobile phone, Bank documents",Home office,no action,"action, involves knowing or accessing private information that one might not want to disclose; Bank Documents, contains sensitive private information",,,,
Call the doctor to discuss test results and schedule a follow up,Following up with a doctor,"Mobile phone, Medical files",Living Room,no action,"action, involves knowing or accessing private information that one might not want to disclose; Medical files, contains sensitive private information",,,,
