Action,Activity,Objects,Locations,Preference,Explanation,Opposing Concepts,Conditions,Preference Conditional,Explanation Conditional
Rearranging the closet,Tidying the House,"Hangers, Pants, Dress, Shirt, Scarf",Closet,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Folding the laundry,Doing Laundry,"pants, shirt, dress, scarf",Bedroom,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization",,,
Running a blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Vacuum cleaning the living room carpets,Floor Cleaning,"Vacuum Cleaner, Carpets",Living Room,do now,"activity, is a mundane chore",,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Grinding coffee beans in the electric grinder,Preparing Breakfast,"Coffee beans, electric grinder, power outlet",Kitchen,do now,,,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Arranging pots and pans in the kitchen shelves,Organizing the Kitchen,"Pots, Pans, Kitchen Shelves",Kitchen,do now,"activity, is a mundane chore; action, can be easily fixed if done improperly","action, is one which a user might be particular about if they are picky about home organization","early in the morning, user is asleep",do later,"action, makes a lot of noise"
Cleaning kitchen sink and running the garbage disposal,Cleaning the Kitchen,"Sponge, Dish Soap, Electric switch, Kitchen sink, Faucet",Kitchen,do now,"activity, is a mundane chore",,"early in the morning, user is asleep",do later,"action, makes a lot of noise"
Serving a jug of juice at the dining table,Serving Food,"Jug, Juice",Dining table,do now,,,,,
Bring plates with pastries to the table,Serving Food,"Plate, Pastries","Kitchen, Dining Room",do now,,,,,
Bringing water in a steel mug to take medication,Taking medication,"Steel mug, water",Living Room,do now,"action, is crucial to complete",,,,
Fetching a bowl containing nuts out to the living room,Serving Food,"Bowl, Nuts","Living Room, Kitchen",do now,,,,,
Carrying a water jug to water indoor plants,Maintaining house plants,"Water jug, House plants",Living Room,do now,,,,,
Putting a bottle of water by the bed,Preparing to Sleep,"Water bottle, Nightstand",Bedroom,do now,,,,,
Fixing the comforter in the morning,Making the Bed,"Bed, Bedsheet, Comforter, Pillows",Bedroom,do now,"activity, is a mundane chore",,,,
Arranging pillows on the bed,Making the Bed,"Bed, Pillows, Pillowcovers",Bedroom,do now,"activity, is a mundane chore",,,,
Carrying clothes left on the bed to a laundry hamper,Laundry and Ironing,"Pants, Shirt, Jackets, Dresses, Bed, Laundry Hamper",Bedroom,do now,"activity, is a mundane chore",,,,
Placing the book you read every night on the nightstand,Preparing to Sleep,"Book, Nightstand",Bedroom,do now,,,,,
Placing pajamas out on the bed for you to wear at night,Preparing to Sleep,"Pajamas, Bed",Bedroom,do now,,,,,
Applying moisturizer on your arms,Personal Care,"Moisturizer, Moisturizer bottle",Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Putting on a scarf when leaving the home,Getting ready to leave,Scarf,Living Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Using a trimmer to groom facial hair,Personal Care,Trimmer,Bathroom,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Helping you put on a bracelet or watch on your wrist,Getting ready to leave,"Bracelet, watch",Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Putting on sunscreen,Getting ready to leave,"Sunscreen bottle, cream applicator",Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Applying band aid on your skin,Personal Care,Band Aid,Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Spraying bug spray on your arms,Personal Care,Bug Spray bottle,Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Combing your hair,Personal Care,Comb,Dressing Room,no action,"action, requires someone helping one with it to be in close contact with them",,,,
Spraying water to mist house plants,Maintaining house plants,"Spray bottle, house plants",Living Room,remind,"action, that a user might want to be carried out in a particular manner if they are particular about their house plants",,user is in a rush,do now,
Watering house plants,Maintaining house plants,"Watering can, house plants",Living Room,remind,"action, that a user might want to be carried out in a particular manner if they are particular about their house plants",,user is in a rush,do now,
Spraying insecticide on house plants,Maintaining house plants,"Insecticide spray, house plants",Living Room,remind,"action, that a user might want to be carried out in a particular manner if they are particular about their house plants",,user is in a rush,do now,
adding potting soil to indoor plant pots,Maintaining house plants,"potting soil, potting soil bag, house plants, indoor plant pots",Living Room,remind,"action, that a user might want to be carried out in a particular manner if they are particular about their house plants",,user is in a rush,do now,
Trimming house plants with a knife and shear,Maintaining house plants,"Knife, Gardening shears, House plants",Living Room,remind,"action, that a user might want to be carried out in a particular manner if they are particular about their house plants",,user is in a rush,do now,
Garnishing food with salt and spices,Preparing a Meal,"Salt shaker, Spice shakers, Cooked Food",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Scooping out cookie dough,Baking,"Cookie dough, scoop, Baking tray",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Mixing cake batter to bake a birthday cake,Baking,"Cake batter, Mixing bowl, Wooden spoon",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Peeling and chopping fruits for a fruit salad,Preparing a Meal,"Fruit slices, Serving bowl",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Picking a recipe to make for dinner,Preparing a Meal,Recipe book,Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Mixing milk and cereal to prepare breakfast,Preparing Breakfast,"milk carton, cereal box, cereal bowl",Dining Room,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Putting fruits in the blender to make a smoothie,Making a Smoothie,"Blender, Kitchen Counter, Apple, Banana, Strawberry",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Fry an egg till done,Preparing Breakfast,"Fried Egg, Pan, Spatula",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Pouring pancake batter in a pan,Preparing a Meal,"Pancake batter, Bowl, Spatula, Pan",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Sprinkle salt and pepper on eggs,Preparing a Meal,"Salt shaker, Pepper shaker, Cooked Food",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food",,,,
Chopping vegetables,Preparing a Meal,"carrots, onions, celery, chopping board, chef knife",Kitchen,no action,"action, is one which a user might be particular about if they are picky about their food; chef knife, can easily hurt someone without intending to",,,,
Ironing clothes that you plan to wear in the evening,Laundry and Ironing,"Dress, Iron, Ironing board",Living Room,remind,"iron, can damage or break or burn something if used inaccurately; iron, can easily hurt someone without intending to; action, is crucial to complete; action, can cause major damage or harm if done imprecisely",,,,
Refilling the pillbox,Taking medication,"Pillbox, Medecine strips",Kitchen,remind,"action, can cause major damage or harm if done imprecisely; action, is crucial to complete",,,,
Turning on the stove,Preparing a Meal,"Stove, Stove knobs",Kitchen,remind,"stove, can damage or break or burn something if used inaccurately; action, can cause major damage or harm if done imprecisely; action, is crucial to complete",,,,
Lighting candles in the evening,Home Decoration,"Lighter, Candle",Living Room,no action,"candle, can damage or break or burn something if used inaccurately; action, can cause major damage or harm if done imprecisely",,,,
Drilling holes in the wall to put up a coat hook,Home Decoration,"Electric Drill, Hammer, Screws",Living Room,no action,"electric drill, can damage or break or burn something if used inaccurately; electric drill, can easily hurt someone without intending to; action, can cause major damage or harm if done imprecisely",,,,
Inserting a nail while assembling furniture,Furniture Assembly,"Nail, hammer, furniture parts",Living Room,no action,"hammer, can damage or break or burn something if used inaccurately; hammer, can easily hurt someone without intending to; nail, can easily hurt someone without intending to; action, can cause major damage or harm if done imprecisely",,,,
Knitting a scarf,Knitting,"Knitting needle, Yarn",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Doing meditation,Meditating,Yoga mat,Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Watching a favorite TV show,Watching TV,TV remote,Living Room,no action,"action, is something one does only if they enjoy doing it",,,,
Adorning religious idols,Doing a spiritual routine,Religious idols,Living Room,no action,"action, is something one does only if they enjoy doing it",,,,
Chanting religious hymns,Doing a spiritual routine,Religious book,Living Room,no action,"action, is something one does only if they enjoy doing it",,,,
Solving a crossword puzzle in the magazine,Solving a crossword puzzle,"Magazine, pen",Living Room,no action,"action, is something one does only if they enjoy doing it",,,,
Doing beadwork on handmade purses,Beadworking,"Beads, needle, thread, purse",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
Embroidering a floral pattern on a blouse,Embroidery,"needle, thread, blouse",Living Room,no action,"action, is something one does only if they enjoy doing it; activity, is often done by people as a hobby",,,,
